# labels.csv — PITFALL.EXE (Win32 PE, image base 0x400000)
# key,name,comment
# key = virtual address (0x0044A8FF). Prefix "off:" for a raw file offset,
#       "ph:<FILE>:<offset>" for an offset inside a .PH data file.
#
# ---- entry / CRT ----------------------------------------------------------
0x0044A8FF,WinMainCRTStartup,PE entry point; MSVC 2.x CRT startup with SEH frame
0x00449995,sprintf,CRT sprintf (40 callers)
0x0043C820,fatal_exit,called after every load-error MessageBox
#
# ---- level loading --------------------------------------------------------
0x004460E0,load_level,"opens levelNN.ph, reads its blocks, fills the map globals (16 callers)"
0x004451A0,build_palette_remap,"(rgb_table, count, mode) -> fills the 256-byte remap LUT at g_pal_remap"
0x0047112C,str_level_fmt,'level%2.2d.ph'
0x0046E084,str_init_ph,'init.ph'
0x0046F0D8,g_level_assets,25 x 6 x 16-byte per-level asset name table (bg/parlax/det/dt2/trg/als)
0x00451A2C,g_level_num,current level index 0..24
0x004502B0,g_level_filename,composed 'levelNN.ph' path
0x0045028C,g_level_file,HANDLE returned by CreateFileA for the open .PH
0x00450290,g_block_size,scratch: uint32 block length read ahead of each block payload
0x004504E0,g_level_heap,base of the level block arena
0x00450FC4,g_block0_ptr,pointer to the loaded block 0 payload
0x00450510,g_next_block_ptr,16-byte-aligned write cursor for blocks 1..n
0x00450FCC,g_have_level_file,1 when a .PH was opened; 0 selects the built-in defaults
#
# ---- map geometry (derived from block 0 header) ---------------------------
0x00450FB4,g_map_tiles_w,map width in 16px tiles = cell_w / 2
0x00450FB0,g_map_tiles_h,map height in 16px tiles = cell_h / 2
0x00450FB8,g_scroll_max_x,(g_map_tiles_w - 20) * 16 — viewport is 20 tiles wide
0x00450FBC,g_scroll_max_y,(g_map_tiles_h - 14) * 16 — viewport is 14 tiles tall
0x00450298,g_pixel_data,block0 + pix_off — start of the 8bpp 8x8 tile sheet
0x004502A0,g_palette,block0 + pal_off — start of the RGB palette
0x004503C0,g_pal_remap,256-byte palette-index translation table
#
# ---- UI / misc ------------------------------------------------------------
0x0046D3CC,g_hwnd_main,HWND passed to MessageBoxA
0x00451CB0,g_str_load_error,.bss buffer holding the load-error format string (LoadStringA)
0x00451B20,g_str_msgbox_title,.bss buffer holding the message box caption
0x00474390,imp_COMCTL32_ord5,COMCTL32.dll import thunk
0x00474394,imp_PropertySheetA,COMCTL32.dll import thunk
0x00474398,imp_COMCTL32_ord6,COMCTL32.dll import thunk
0x0047439C,imp_COMCTL32_ord17,COMCTL32.dll import thunk
0x00474410,imp_CreateFileA,KERNEL32.dll import thunk
0x00474414,imp_ReadFile,KERNEL32.dll import thunk
0x00474418,imp_LeaveCriticalSection,KERNEL32.dll import thunk
0x0047441C,imp__lwrite,KERNEL32.dll import thunk
0x00474420,imp__lclose,KERNEL32.dll import thunk
0x00474424,imp_SetStdHandle,KERNEL32.dll import thunk
0x00474428,imp_SetFilePointer,KERNEL32.dll import thunk
0x0047442C,imp_EnterCriticalSection,KERNEL32.dll import thunk
0x00474430,imp_VirtualAlloc,KERNEL32.dll import thunk
0x00474434,imp_VirtualFree,KERNEL32.dll import thunk
0x00474438,imp_FlushFileBuffers,KERNEL32.dll import thunk
0x0047443C,imp__llseek,KERNEL32.dll import thunk
0x00474440,imp_SetFileAttributesA,KERNEL32.dll import thunk
0x00474444,imp_GetOEMCP,KERNEL32.dll import thunk
0x00474448,imp_GetACP,KERNEL32.dll import thunk
0x0047444C,imp_GetModuleFileNameA,KERNEL32.dll import thunk
0x00474450,imp_UnhandledExceptionFilter,KERNEL32.dll import thunk
0x00474454,imp_RtlUnwind,KERNEL32.dll import thunk
0x00474458,imp_TlsGetValue,KERNEL32.dll import thunk
0x0047445C,imp_LocalAlloc,KERNEL32.dll import thunk
0x00474460,imp_LocalFree,KERNEL32.dll import thunk
0x00474464,imp_FindResourceA,KERNEL32.dll import thunk
0x00474468,imp_LoadResource,KERNEL32.dll import thunk
0x0047446C,imp_LockResource,KERNEL32.dll import thunk
0x00474470,imp_Sleep,KERNEL32.dll import thunk
0x00474474,imp_SetPriorityClass,KERNEL32.dll import thunk
0x00474478,imp__lopen,KERNEL32.dll import thunk
0x0047447C,imp__lcreat,KERNEL32.dll import thunk
0x00474480,imp_LoadLibraryA,KERNEL32.dll import thunk
0x00474484,imp_LoadModule,KERNEL32.dll import thunk
0x00474488,imp_SetErrorMode,KERNEL32.dll import thunk
0x0047448C,imp_GlobalReAlloc,KERNEL32.dll import thunk
0x00474490,imp_GetProcAddress,KERNEL32.dll import thunk
0x00474494,imp_FreeLibrary,KERNEL32.dll import thunk
0x00474498,imp_GlobalFree,KERNEL32.dll import thunk
0x0047449C,imp_DeleteCriticalSection,KERNEL32.dll import thunk
0x004744A0,imp_GlobalUnlock,KERNEL32.dll import thunk
0x004744A4,imp_GetSystemDirectoryA,KERNEL32.dll import thunk
0x004744A8,imp_GetTempPathA,KERNEL32.dll import thunk
0x004744AC,imp_GetFileAttributesA,KERNEL32.dll import thunk
0x004744B0,imp_GetFileType,KERNEL32.dll import thunk
0x004744B4,imp_DeleteFileA,KERNEL32.dll import thunk
